PESO REFERENCIA (g/ave),EDAD,SEXO,LINEA,CONSUMO DIARIO,"CONSUMO ACUMULADO 
REFERENCIA (g/ave)",CONVERSION ALIMENTICIA REFERENCIA,GANANCIA/ DIARIA DE REFERENCIA (g/día),PROMEDIO GAD SEMANA,VPI SEMANA,MORTALIDAD,EA,FEE,IP
1554,28,HEMBRA,COBB 500,148,2146,1.38,83,56,1.56180904522613,0.0245,112.608695652174,392.320652173913,81.6005040957782
1638,29,HEMBRA,COBB 500,151,2297,1.4,84,NA,NA,0.025,117,393.362068965517,83.5714285714286
1723,30,HEMBRA,COBB 500,154,2451,1.42,85,NA,NA,0.0255,121.338028169014,394.146361502348,85.4493156119818
1808,31,HEMBRA,COBB 500,156,2607,1.44,85,NA,NA,0.0265,125.555555555556,394.284946236559,87.1913580246914
1894,32,HEMBRA,COBB 500,159,2766,1.46,86,NA,NA,0.0265,129.72602739726,394.650898972603,88.853443422781
1980,33,HEMBRA,COBB 500,162,2928,1.48,86,NA,NA,0.0275,133.783783783784,394.256756756757,90.3944485025566
2067,34,HEMBRA,COBB 500,164,3092,1.5,86,NA,NA,0.028,137.8,393.945882352941,91.8666666666667
2153,35,HEMBRA,COBB 500,166,3258,1.51,87,62,1.38545688545689,0.029,142.582781456954,395.565373699149,94.4256830840753
2240,36,HEMBRA,COBB 500,169,3427,1.53,87,NA,NA,0.0295,146.40522875817,394.684095860567,95.6896919988039
2327,37,HEMBRA,COBB 500,172,3599,1.55,87,NA,NA,0.0305,150.129032258065,393.378639930253,96.8574401664932
2413,38,HEMBRA,COBB 500,177,3776,1.56,87,NA,NA,0.0315,154.679487179487,394.229166666667,99.1535174227482
2500,39,HEMBRA,COBB 500,179,3955,1.58,86,NA,NA,0.0325,158.227848101266,392.526777020448,100.144207659029
2586,40,HEMBRA,COBB 500,183,4138,1.6,86,NA,NA,0.0335,161.625,390.52640625,101.015625
2672,41,HEMBRA,COBB 500,189,4327,1.62,86,NA,NA,0.0345,164.938271604938,388.409515206263,101.813747904283
2757,42,HEMBRA,COBB 500,193,4520,1.64,85,66,1.28053878309336,0.0355,168.109756097561,386.052047038328,102.505948839976
2843,43,HEMBRA,COBB 500,198,4718,1.66,85,NA,NA,0.036,171.265060240964,383.952367609975,103.171723036725
2927,44,HEMBRA,COBB 500,202,4920,1.68,84,NA,NA,0.037,174.22619047619,381.317775974026,103.706065759637
3011,45,HEMBRA,COBB 500,208,5128,1.7,84,NA,NA,0.038,177.117647058824,378.638169934641,104.186851211073
3094,46,HEMBRA,COBB 500,212,5340,1.73,83,NA,NA,0.039,178.843930635838,373.628298567479,103.37799458719
3177,47,HEMBRA,COBB 500,215,5555,1.75,83,NA,NA,0.04,181.542857142857,370.81094224924,103.738775510204
3260,48,HEMBRA,COBB 500,220,5775,1.77,83,NA,NA,0.041,184.180790960452,367.977871939736,104.056944045453
3342,49,HEMBRA,COBB 500,225,6000,1.8,82,68,1.21218715995647,0.042,185.666666666667,362.997278911565,103.148148148148
42,NA,MACHO,COBB 500,NA,NA,NA,NA,NA,4.61904761904762,NA,NA,NA,NA
63,1,MACHO,COBB 500,NA,NA,NA,NA,NA,NA,0.0015,NA,NA,NA
74,2,MACHO,COBB 500,NA,NA,NA,NA,NA,NA,0.0025,NA,NA,NA
90,3,MACHO,COBB 500,NA,NA,NA,NA,NA,NA,0.0035,NA,NA,NA
110,4,MACHO,COBB 500,NA,NA,NA,NA,NA,NA,0.0045,NA,NA,NA
135,5,MACHO,COBB 500,NA,NA,NA,NA,NA,NA,0.0055,NA,NA,NA
164,6,MACHO,COBB 500,NA,NA,NA,NA,NA,NA,0.0065,NA,NA,NA
194,7,MACHO,COBB 500,NA,146,0.75,30,28,4.61904761904762,0.0075,25.8666666666667,NA,34.4888888888889
230,8,MACHO,COBB 500,37,183,0.79,36,NA,NA,0.0085,29.1139240506329,NA,36.8530684185227
271,9,MACHO,COBB 500,43,226,0.83,41,NA,NA,0.0095,32.6506024096386,NA,39.3380751923356
316,10,MACHO,COBB 500,50,276,0.87,45,NA,NA,0.0095,36.3218390804598,NA,41.7492403223676
365,11,MACHO,COBB 500,57,333,0.91,49,NA,NA,0.0105,40.1098901098901,NA,44.0768023185606
418,12,MACHO,COBB 500,64,397,0.95,53,NA,NA,0.0115,44,NA,46.3157894736842
474,13,MACHO,COBB 500,74,471,0.99,56,NA,NA,0.0125,47.8787878787879,NA,48.3624119987756
534,14,MACHO,COBB 500,76,547,1.02,60,38,2.75257731958763,0.0135,52.3529411764706,NA,51.3264129181084
597,15,MACHO,COBB 500,80,627,1.05,63,NA,NA,0.0135,56.8571428571428,NA,54.1496598639456
664,16,MACHO,COBB 500,87,714,1.08,67,NA,NA,0.0145,61.4814814814815,NA,56.9272976680384
733,17,MACHO,COBB 500,93,807,1.1,70,NA,NA,0.0155,66.6363636363636,NA,60.5785123966942
806,18,MACHO,COBB 500,107,914,1.13,73,NA,NA,0.0165,71.3274336283186,NA,63.121622679928
882,19,MACHO,COBB 500,112,1027,1.16,76,NA,NA,0.0175,76.0344827586207,NA,65.5469678953627
960,20,MACHO,COBB 500,116,1143,1.19,79,NA,NA,0.0185,80.672268907563,NA,67.7918226113975
1042,21,MACHO,COBB 500,120,1263,1.21,81,50,1.95131086142322,0.0195,86.1157024793389,NA,71.1700020490404
1125,22,MACHO,COBB 500,125,1388,1.23,84,NA,NA,0.0205,91.4634146341463,NA,74.360499702558
1212,23,MACHO,COBB 500,131,1519,1.25,86,NA,NA,0.021,96.96,NA,77.568
1300,24,MACHO,COBB 500,138,1657,1.27,89,NA,NA,0.022,102.362204724409,NA,80.6001612003224
1391,25,MACHO,COBB 500,143,1800,1.29,91,NA,NA,0.0225,107.829457364341,NA,83.5887266390241
1484,26,MACHO,COBB 500,151,1951,1.32,93,NA,NA,0.023,112.424242424242,NA,85.1698806244261
1579,27,MACHO,COBB 500,158,2109,1.34,95,NA,NA,0.0235,117.835820895522,NA,87.9371797727779
1675,28,MACHO,COBB 500,164,2273,1.36,97,60,1.60748560460653,0.0245,123.161764705882,429.086790966387,90.5601211072664
1774,29,MACHO,COBB 500,169,2441,1.38,98,NA,NA,0.025,128.550724637681,432.1964017991,93.1526990128125
1874,30,MACHO,COBB 500,173,2615,1.4,100,NA,NA,0.0255,133.857142857143,434.812619047619,95.6122448979592
1975,31,MACHO,COBB 500,177,2792,1.41,101,NA,NA,0.0265,140.070921985816,439.867879203844,99.3410794225643
2078,32,MACHO,COBB 500,181,2973,1.43,103,NA,NA,0.0265,145.314685314685,442.074519230769,101.618661059221
2182,33,MACHO,COBB 500,185,3159,1.45,104,NA,NA,0.0275,150.48275862069,443.468129571578,103.781212841855
2286,34,MACHO,COBB 500,189,3348,1.46,105,NA,NA,0.028,156.575342465753,447.621273166801,107.243385250516
2392,35,MACHO,COBB 500,192,3540,1.48,106,68,1.42805970149254,0.029,161.621621621622,448.384555984556,109.203798392988
2499,36,MACHO,COBB 500,195,3735,1.49,107,NA,NA,0.0295,167.718120805369,452.140100671141,112.562497184812
2606,37,MACHO,COBB 500,200,3935,1.51,107,NA,NA,0.0305,172.582781456954,452.213531412207,114.293232752949
2714,38,MACHO,COBB 500,204,4139,1.53,108,NA,NA,0.0315,177.385620915033,452.09993120055,115.938314323551
2822,39,MACHO,COBB 500,208,4347,1.54,108,NA,NA,0.0325,183.246753246753,454.592907092907,118.991398212177
2930,40,MACHO,COBB 500,212,4559,1.56,108,NA,NA,0.0335,187.820512820513,453.821314102564,120.397764628534
3038,41,MACHO,COBB 500,218,4776,1.57,108,NA,NA,0.0345,193.503184713376,455.676402050645,123.250436123169
3147,42,MACHO,COBB 500,223,4999,1.59,108,75,1.31563545150502,0.0355,197.924528301887,454.519541778976,124.480835409992
3255,43,MACHO,COBB 500,229,5228,1.61,108,NA,NA,0.036,202.173913043478,453.24570273003,125.573859033216
3363,44,MACHO,COBB 500,234,5461,1.62,108,NA,NA,0.037,207.592592592593,454.344696969697,128.14357567444
3470,45,MACHO,COBB 500,239,5701,1.64,107,NA,NA,0.038,211.585365853659,452.322493224932,129.015466983938
3577,46,MACHO,COBB 500,243,5944,1.66,107,NA,NA,0.039,215.481927710843,450.169853326349,129.808390187255
3682,47,MACHO,COBB 500,247,6191,1.68,106,NA,NA,0.04,219.166666666667,447.659574468085,130.456349206349
3787,48,MACHO,COBB 500,251,6443,1.7,105,NA,NA,0.041,222.764705882353,445.065318627451,131.038062283737
3891,49,MACHO,COBB 500,256,6699,1.72,104,79,1.23641563393708,0.042,226.220930232558,442.285002373042,131.523796646836
